FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
,,,,,,,,,,,,,,,,,,,,
-11,25,-7,6,-2,26,-3,3,8,-15,-13,18,0,-11,-30,-52,24,-7,-32,-113,21
-5,29,4,9,0,22,2,2,1,-12,-4,23,0,-8,-25,-33,22,-3,-20,-119,19
8,37,27,21,6,21,20,7,-10,-5,10,31,1,-5,-15,-2,20,2,0,-104,15
23,45,55,38,14,21,43,13,-23,4,26,41,2,-1,-3,36,19,8,21,-71,9
35,47,83,51,20,15,63,17,-38,15,42,50,3,0,8,77,15,14,40,-26,3
39,41,102,57,21,3,75,17,-51,25,52,55,4,-2,15,112,8,18,50,19,-1
33,29,109,55,17,-10,76,14,-60,31,56,57,4,-5,16,131,0,18,49,56,-5
23,16,105,46,10,-23,68,10,-64,33,54,54,4,-9,12,135,-7,16,40,81,-8
16,8,99,39,5,-30,59,6,-66,32,49,50,3,-13,6,130,-13,13,30,98,-9
16,9,96,37,4,-30,57,5,-68,27,46,47,1,-16,1,125,-16,7,26,112,-10
24,15,98,40,6,-25,59,7,-70,20,44,45,-3,-19,-2,122,-16,1,26,127,-11
35,25,102,46,10,-18,64,10,-74,13,44,42,-8,-22,-5,119,-15,-5,30,141,-11
48,37,109,55,15,-8,71,16,-76,8,46,40,-11,-24,-6,119,-10,-11,36,155,-9
58,45,114,61,18,-2,75,21,-74,7,49,39,-10,-25,-6,118,-3,-14,39,168,-7
54,39,108,56,15,-6,67,19,-72,8,47,35,-9,-27,-10,112,-5,-15,36,178,-4
44,24,95,46,7,-16,53,9,-71,8,42,28,-11,-31,-16,102,-15,-17,31,188,-1
36,13,85,40,1,-22,47,0,-71,5,37,24,-13,-32,-19,95,-24,-20,30,203,1
33,7,80,40,-3,-23,48,-3,-70,3,34,22,-13,-32,-18,93,-27,-22,32,223,2
29,1,77,39,-7,-24,49,-5,-68,0,32,21,-13,-32,-17,91,-28,-23,33,241,2
26,-3,74,37,-11,-26,50,-6,-67,-4,28,20,-16,-33,-16,90,-28,-26,34,252,0
24,-6,71,35,-15,-26,50,-7,-66,-9,25,19,-18,-34,-14,91,-29,-28,34,256,-2
20,-11,67,31,-19,-29,46,-9,-65,-13,22,18,-21,-35,-12,91,-31,-30,32,252,-4
12,-20,59,21,-25,-35,37,-16,-64,-16,18,16,-25,-37,-11,91,-38,-32,29,242,-5
4,-28,50,11,-29,-41,27,-25,-63,-19,13,14,-29,-38,-11,90,-47,-33,27,231,-5
2,-30,46,7,-30,-42,24,-29,-61,-20,12,15,-29,-36,-8,91,-50,-33,29,223,-4
7,-25,48,7,-26,-37,27,-26,-53,-16,15,18,-22,-32,-2,95,-42,-29,33,219,-2
13,-18,53,8,-21,-32,30,-20,-43,-8,20,21,-11,-26,3,97,-29,-21,37,216,-1
15,-17,55,5,-17,-31,29,-15,-33,-1,24,23,-1,-21,7,97,-19,-13,40,211,-2
